,MUNICIPIOS,latitude,longitude,SISTEMAS_GD,POTÊNCIA (w),N_MOD,TOTAL PESO (kg),TOTAL VIDRO (kg),TOTAL ALUMÍNIO (kg),TOTAL SILÍCIO (kg),TOTAL POLÍMERO (kg),TOTAL ZINCO (kg),TOTAL CHUMBO (kg),TOTAL COBRE (kg),TOTAL PRATA (kg)
0,Rio Branco,-15.2483,-58.1259,4085,4659.0,12512.0,2419992.0,1790794.08,241999.2,72599.76,157299.48,2903.9903999999997,2419.992,14519.952,145.19952
1,Rio Branco,-9.97499,-67.8243,4085,1074.0,2233.0,2419992.0,1790794.08,241999.2,72599.76,157299.48,2903.9903999999997,2419.992,14519.952,145.19952
2,Tarauacá,-8.15697,-70.7722,68,2882.0,5177.0,33434.0,24741.16,3343.4,1003.02,2173.21,40.120799999999996,33.434,200.60399999999998,2.00604
3,Senador Guiomard,-10.1497,-67.7362,138,13947.0,24694.0,149091.0,110327.34,14909.1,4472.73,9690.915,178.90919999999997,149.091,894.546,8.94546
4,Brasiléia,-10.995,-68.7497,74,4302.0,9725.0,101262.0,74933.88,10126.2,3037.86,6582.03,121.5144,101.262,607.572,6.07572
5,Porto Acre,-9.58138,-67.5478,88,289.0,594.0,39236.0,29034.64,3923.6,1177.08,2550.34,47.0832,39.236,235.416,2.35416
6,Cruzeiro do Sul,-22.9624,-52.1622,1116,505.0,833.0,831904.0,615608.96,83190.4,24957.12,54073.76,998.2847999999999,831.904,4991.424,49.91424
7,Cruzeiro do Sul,-29.5148,-51.9928,1116,1411.0,2820.0,831904.0,615608.96,83190.4,24957.12,54073.76,998.2847999999999,831.904,4991.424,49.91424
8,Cruzeiro do Sul,-7.62762,-72.6756,1116,278.0,437.0,831904.0,615608.96,83190.4,24957.12,54073.76,998.2847999999999,831.904,4991.424,49.91424
9,Capixaba,-10.566,-67.686,15,176.0,295.0,24666.0,18252.84,2466.6,739.98,1603.29,29.5992,24.666,147.996,1.47996
10,Acrelândia,-9.82581,-66.8972,112,613.0,992.0,84590.0,62596.6,8459.0,2537.7,5498.35,101.508,84.59,507.54,5.0754
11,Feijó,-8.17054,-70.351,77,1791.0,4452.0,53078.0,39277.72,5307.8,1592.34,3450.07,63.693599999999996,53.078,318.468,3.18468
12,Xapuri,-10.6516,-68.4969,38,3501.0,8161.0,32215.0,23839.1,3221.5,966.4499999999999,2093.975,38.657999999999994,32.215,193.29,1.9329
13,Plácido de Castro,-10.2806,-67.1371,81,3716.0,6458.0,44445.0,32889.3,4444.5,1333.35,2888.925,53.333999999999996,44.445,266.67,2.6667
14,Jordão,-9.1908,-71.9503,2,152.0,239.0,490.0,362.6,49.0,14.7,31.85,0.588,0.49,2.94,0.0294
15,Sena Madureira,-9.06596,-68.6571,81,161.0,254.0,71750.0,53095.0,7175.0,2152.5,4663.75,86.1,71.75,430.5,4.305
16,Epitaciolândia,-11.0188,-68.7341,45,490.0,730.0,29945.0,22159.3,2994.5,898.35,1946.425,35.934,29.945,179.67,1.7967
17,Bujari,-9.81528,-67.955,21,1498.0,3525.0,16405.0,12139.7,1640.5,492.15,1066.325,19.686,16.405,98.43,0.9843
18,Mâncio Lima,-7.61657,-72.8997,26,9418.0,15538.0,19945.0,14759.3,1994.5,598.35,1296.425,23.933999999999997,19.945,119.67,1.1967
19,Assis Brasil,-10.9298,-69.5738,7,1455.0,2436.0,5630.0,4166.2,563.0,168.89999999999998,365.95000000000005,6.756,5.630000000000001,33.779999999999994,0.33780000000000004
20,Manoel Urbano,-8.83291,-69.2679,4,591.0,920.0,1675.0,1239.5,167.5,50.25,108.875,2.01,1.675,10.05,0.10049999999999999
21,Porto Walter,-8.26323,-72.7537,1,402.0,794.0,750.0,555.0,75.0,22.5,48.75,0.8999999999999999,0.75,4.5,0.045
22,Rodrigues Alves,-7.73864,-72.661,11,1009.0,1720.0,6685.0,4946.9,668.5,200.55,434.525,8.022,6.6850000000000005,40.11,0.4011
23,Marechal Thaumaturgo,-8.93898,-72.7997,6,3653.0,6804.0,4590.0,3396.6,459.0,137.7,298.35,5.507999999999999,4.59,27.54,0.2754
24,Maceió,-9.66599,-35.735,8600,1586.0,2876.0,5151595.0,3812180.3,515159.5,154547.85,334853.675,6181.914,5151.595,30909.57,309.0957
25,Marechal Deodoro,-9.70971,-35.8967,1601,1512.0,2985.0,804642.0,595435.08,80464.2,24139.26,52301.73,965.5704,804.642,4827.852,48.27852
26,Paripueira,-9.46313,-35.552,343,4109.0,13783.0,170093.0,125868.81999999999,17009.3,5102.79,11056.045,204.11159999999998,170.093,1020.558,10.20558
27,São Miguel dos Campos,-9.78301,-36.0971,288,15039.0,29795.0,138548.0,102525.52,13854.8,4156.44,9005.62,166.2576,138.548,831.288,8.31288
28,Coité do Nóia,-9.63348,-36.5845,70,417.0,678.0,30995.0,22936.3,3099.5,929.85,2014.6750000000002,37.193999999999996,30.995,185.97,1.8597000000000001
29,Piranhas,-9.624,-37.757,471,594.0,936.0,387150.0,286491.0,38715.0,11614.5,25164.75,464.58,387.15000000000003,2322.9,23.229
30,Piranhas,-16.4258,-51.8235,471,345.0,529.0,387150.0,286491.0,38715.0,11614.5,25164.75,464.58,387.15000000000003,2322.9,23.229
31,Passo de Camaragibe,-9.24511,-35.4745,59,231.0,449.0,53106.0,39298.44,5310.6,1593.1799999999998,3451.89,63.727199999999996,53.106,318.636,3.18636
32,Arapiraca,-9.75487,-36.6615,2895,5690.0,10802.0,1974281.0,1460967.94,197428.1,59228.43,128328.265,2369.1371999999997,1974.281,11845.686,118.45686
33,Junqueiro,-9.90696,-36.4803,153,475.0,725.0,85448.0,63231.52,8544.8,2563.44,5554.12,102.5376,85.44800000000001,512.688,5.12688
34,Coruripe,-10.1276,-36.1717,308,5808.0,10694.0,211328.0,156382.72,21132.8,6339.84,13736.32,253.59359999999998,211.328,1267.968,12.679680000000001
35,Pilar,-7.26403,-35.2523,196,387.0,592.0,395696.0,292815.04,39569.6,11870.88,25720.24,474.83519999999993,395.696,2374.176,23.74176
36,Pilar,-9.60135,-35.9543,196,1903.0,3200.0,395696.0,292815.04,39569.6,11870.88,25720.24,474.83519999999993,395.696,2374.176,23.74176
37,Barra de São Miguel,-7.74603,-36.3209,512,60.0,90.0,366149.0,270950.26,36614.9,10984.47,23799.685,439.37879999999996,366.149,2196.8940000000002,21.96894
38,Barra de São Miguel,-9.83842,-35.9057,512,1870.0,2903.0,366149.0,270950.26,36614.9,10984.47,23799.685,439.37879999999996,366.149,2196.8940000000002,21.96894
39,Penedo,-10.2874,-36.5819,344,363.0,608.0,172033.0,127304.42,17203.3,5160.99,11182.145,206.43959999999998,172.03300000000002,1032.198,10.32198
40,Boca da Mata,-9.64308,-36.2125,98,1421.0,3289.0,43125.0,31912.5,4312.5,1293.75,2803.125,51.75,43.125,258.75,2.5875
41,Jequiá da Praia,-10.0133,-36.0142,42,649.0,1755.0,20116.0,14885.84,2011.6,603.48,1307.54,24.1392,20.116,120.696,1.20696
42,Palmeira dos Índios,-9.40568,-36.6328,557,1135.0,1925.0,372836.0,275898.64,37283.6,11185.08,24234.34,447.40319999999997,372.836,2237.016,22.370160000000002
43,Rio Largo,-9.47783,-35.8394,386,4339.0,13924.0,340553.0,252009.22,34055.3,10216.59,22135.945,408.6636,340.553,2043.318,20.43318
44,São José da Tapera,-9.55768,-37.3831,68,7091.0,15590.0,32109.0,23760.66,3210.9,963.27,2087.085,38.5308,32.109,192.654,1.92654
45,Palestina,-9.67493,-37.339,377,3589.0,6777.0,226158.0,167356.92,22615.8,6784.74,14700.27,271.3896,226.15800000000002,1356.948,13.56948
46,Palestina,-20.39,-49.4309,377,1022.0,2140.0,226158.0,167356.92,22615.8,6784.74,14700.27,271.3896,226.15800000000002,1356.948,13.56948
47,Igaci,-9.53768,-36.6372,92,302.0,900.0,39619.0,29318.06,3961.9,1188.57,2575.235,47.5428,39.619,237.714,2.37714
48,Messias,-9.39384,-35.8392,37,675.0,1069.0,46893.0,34700.82,4689.3,1406.79,3048.045,56.27159999999999,46.893,281.358,2.81358
49,São José da Laje,-9.01278,-36.0515,55,4940.0,9514.0,22865.0,16920.1,2286.5,685.9499999999999,1486.2250000000001,27.438,22.865000000000002,137.19,1.3719000000000001
50,Santana do Ipanema,-9.36999,-37.248,407,157.0,238.0,467369.0,345853.06,46736.9,14021.07,30378.985,560.8427999999999,467.369,2804.214,28.04214
51,Teotônio Vilela,-9.91656,-36.3492,198,291.0,469.0,115221.0,85263.54,11522.1,3456.6299999999997,7489.365,138.2652,115.221,691.326,6.91326
52,Viçosa,-5.98253,-37.9462,932,593.0,1324.0,486046.0,359674.04,48604.6,14581.38,31592.99,583.2552,486.046,2916.276,29.162760000000002
53,Viçosa,-9.36763,-36.2431,932,2676.0,4752.0,486046.0,359674.04,48604.6,14581.38,31592.99,583.2552,486.046,2916.276,29.162760000000002
54,Viçosa,-20.7559,-42.8742,932,259.0,450.0,486046.0,359674.04,48604.6,14581.38,31592.99,583.2552,486.046,2916.276,29.162760000000002
55,Delmiro Gouveia,-9.38534,-37.9987,438,1244.0,2508.0,310361.0,229667.13999999998,31036.1,9310.83,20173.465,372.4332,310.361,1862.166,18.621660000000002
56,Piaçabuçu,-10.406,-36.434,63,464.0,893.0,41168.0,30464.32,4116.8,1235.04,2675.92,49.401599999999995,41.168,247.008,2.4700800000000003
57,Satuba,-9.56911,-35.8227,168,2059.0,5747.0,70548.0,52205.52,7054.8,2116.44,4585.62,84.65759999999999,70.548,423.288,4.23288
58,Atalaia,-23.1517,-52.0551,304,577.0,1258.0,232210.0,171835.4,23221.0,6966.299999999999,15093.650000000001,278.652,232.21,1393.26,13.9326
59,Atalaia,-9.5119,-36.0086,304,11714.0,30255.0,232210.0,171835.4,23221.0,6966.299999999999,15093.650000000001,278.652,232.21,1393.26,13.9326
60,Craíbas,-9.6178,-36.7697,93,595.0,1086.0,40553.0,30009.22,4055.3,1216.59,2635.945,48.663599999999995,40.553000000000004,243.318,2.43318
61,São Miguel dos Milagres,-9.26493,-35.3763,121,257.0,493.0,101318.0,74975.32,10131.8,3039.54,6585.67,121.5816,101.318,607.908,6.07908
62,Flexeiras,-9.27281,-35.7139,32,100.0,160.0,40133.0,29698.420000000002,4013.3,1203.99,2608.645,48.1596,40.133,240.798,2.40798
63,Murici,-9.30682,-35.9428,139,1790.0,2896.0,96151.0,71151.74,9615.1,2884.5299999999997,6249.8150000000005,115.38119999999999,96.151,576.906,5.7690600000000005
64,Batalha,-4.0223,-42.0787,336,1687.0,2640.0,136579.0,101068.46,13657.9,4097.37,8877.635,163.89479999999998,136.579,819.474,8.19474
65,Batalha,-9.6742,-37.133,336,1035.0,1486.0,136579.0,101068.46,13657.9,4097.37,8877.635,163.89479999999998,136.579,819.474,8.19474
66,Lagoa da Canoa,-9.83291,-36.7413,61,341.0,542.0,33750.0,24975.0,3375.0,1012.5,2193.75,40.5,33.75,202.5,2.025
67,Igreja Nova,-10.1235,-36.6597,64,200.0,287.0,23265.0,17216.1,2326.5,697.9499999999999,1512.2250000000001,27.918,23.265,139.59,1.3959
68,Quebrangulo,-9.32001,-36.4692,33,1550.0,2780.0,30866.0,22840.84,3086.6,925.98,2006.29,37.039199999999994,30.866,185.196,1.85196
69,União dos Palmares,-9.15921,-36.0223,243,3618.0,6674.0,126500.0,93610.0,12650.0,3795.0,8222.5,151.79999999999998,126.5,759.0,7.59
70,Santana do Mundaú,-9.17141,-36.2176,23,20732.0,38638.0,8605.0,6367.7,860.5,258.15,559.325,10.325999999999999,8.605,51.63,0.5163
71,Maragogi,-9.00744,-35.2267,295,216.0,446.0,184592.0,136598.08000000002,18459.2,5537.759999999999,11998.480000000001,221.51039999999998,184.592,1107.552,11.075520000000001
72,Anadia,-9.68489,-36.3078,96,1416.0,2622.0,59324.0,43899.76,5932.4,1779.72,3856.06,71.18879999999999,59.324000000000005,355.944,3.55944
73,Dois Riachos,-9.38465,-37.0965,31,2250.0,3898.0,12790.0,9464.6,1279.0,383.7,831.35,15.347999999999999,12.790000000000001,76.74,0.7674
74,São Luís do Quitunde,-9.31816,-35.5606,57,1777.0,3346.0,48925.0,36204.5,4892.5,1467.75,3180.125,58.71,48.925000000000004,293.55,2.9355
75,Poço das Trincheiras,-9.30742,-37.2889,47,3446.0,7100.0,14515.0,10741.1,1451.5,435.45,943.475,17.418,14.515,87.09,0.8709
76,São Sebastião,-23.7951,-45.4143,1082,11255.0,23130.0,569842.0,421683.08,56984.2,17095.26,37039.73,683.8104,569.842,3419.052,34.19052
77,São Sebastião,-9.93043,-36.559,1082,3140.0,5275.0,569842.0,421683.08,56984.2,17095.26,37039.73,683.8104,569.842,3419.052,34.19052
78,Taquarana,-9.64529,-36.4928,122,1515.0,3425.0,55184.0,40836.16,5518.4,1655.52,3586.96,66.2208,55.184000000000005,331.104,3.31104
79,Estrela de Alagoas,-9.39089,-36.7644,32,735.0,1625.0,16105.0,11917.7,1610.5,483.15,1046.825,19.325999999999997,16.105,96.63000000000001,0.9662999999999999
80,Traipu,-9.96262,-37.0071,50,309.0,821.0,50420.0,37310.8,5042.0,1512.6,3277.3,60.504,50.42,302.52,3.0252
81,Major Isidoro,-9.53009,-36.992,81,138.0,212.0,54565.0,40378.1,5456.5,1636.95,3546.725,65.478,54.565000000000005,327.39,3.2739000000000003
82,Matriz de Camaragibe,-9.15437,-35.5243,47,858.0,1413.0,28350.0,20979.0,2835.0,850.5,1842.75,34.019999999999996,28.35,170.1,1.701
83,Cajueiro,-9.3994,-36.1559,43,1954.0,3183.0,31601.0,23384.74,3160.1,948.03,2054.065,37.9212,31.601,189.606,1.89606
84,Porto de Pedras,-9.16006,-35.3049,97,855.0,1392.0,82556.0,61091.44,8255.6,2476.68,5366.14,99.06719999999999,82.556,495.336,4.95336
85,Campo Alegre,-26.195,-49.2676,280,112.0,179.0,317525.0,234968.5,31752.5,9525.75,20639.125,381.03,317.52500000000003,1905.15,19.0515
86,Campo Alegre,-9.78451,-36.3525,280,487.0,742.0,317525.0,234968.5,31752.5,9525.75,20639.125,381.03,317.52500000000003,1905.15,19.0515
87,Capela,-9.41504,-36.0826,138,1117.0,1849.0,75869.0,56143.06,7586.9,2276.0699999999997,4931.485000000001,91.0428,75.869,455.214,4.5521400000000005
88,Capela,-10.5069,-37.0628,138,3408.0,6795.0,75869.0,56143.06,7586.9,2276.0699999999997,4931.485000000001,91.0428,75.869,455.214,4.5521400000000005
89,Maribondo,-9.58353,-36.3045,85,367.0,626.0,45757.0,33860.18,4575.7,1372.71,2974.205,54.90839999999999,45.757,274.54200000000003,2.74542
90,Barra de Santo Antônio,-9.4023,-35.5101,159,3848.0,6791.0,116178.0,85971.72,11617.8,3485.34,7551.57,139.4136,116.178,697.068,6.970680000000001
91,Japaratinga,-9.08746,-35.2634,81,1172.0,2111.0,54321.0,40197.54,5432.1,1629.6299999999999,3530.8650000000002,65.1852,54.321000000000005,325.926,3.25926
92,Chã Preta,-9.2556,-36.2983,21,508.0,932.0,17385.0,12864.9,1738.5,521.55,1130.025,20.862,17.385,104.31,1.0431000000000001
93,Pindoba,-9.47382,-36.2918,8,1613.0,2902.0,2845.0,2105.3,284.5,85.35,184.925,3.4139999999999997,2.845,17.07,0.17070000000000002
94,Porto Calvo,-9.05195,-35.3987,62,2072.0,3820.0,52885.0,39134.9,5288.5,1586.55,3437.525,63.461999999999996,52.885000000000005,317.31,3.1731
95,Minador do Negrão,-9.31236,-36.8696,18,6354.0,13513.0,12940.0,9575.6,1294.0,388.2,841.1,15.527999999999999,12.94,77.64,0.7764
96,Limoeiro de Anadia,-9.74098,-36.5121,113,23386.0,51045.0,117900.0,87246.0,11790.0,3537.0,7663.5,141.48,117.9,707.4,7.074
97,Porto Real do Colégio,-10.1849,-36.8376,117,2994.0,4765.0,52835.0,39097.9,5283.5,1585.05,3434.275,63.401999999999994,52.835,317.01,3.1701
98,Cacimbinhas,-9.40121,-36.9911,49,456.0,836.0,34086.0,25223.64,3408.6,1022.5799999999999,2215.59,40.9032,34.086,204.51600000000002,2.04516
99,Campo Grande,-9.95542,-36.7926,24114,21693.0,41165.0,13206698.0,9772956.52,1320669.8,396200.94,858435.37,15848.037599999998,13206.698,79240.18800000001,792.40188
100,Campo Grande,-20.4486,-54.6295,24114,212.0,384.0,13206698.0,9772956.52,1320669.8,396200.94,858435.37,15848.037599999998,13206.698,79240.18800000001,792.40188
101,Carneiros,-9.48476,-37.3773,11,710.0,1168.0,5075.0,3755.5,507.5,152.25,329.875,6.09,5.075,30.45,0.3045
102,Paulo Jacinto,-9.36792,-36.3672,25,192.0,293.0,10540.0,7799.6,1054.0,316.2,685.1,12.648,10.540000000000001,63.24,0.6324
103,Feliz Deserto,-10.2935,-36.3028,15,1556.0,3351.0,21995.0,16276.3,2199.5,659.85,1429.675,26.393999999999995,21.995,131.97,1.3197
104,Belém,-1.4554,-48.4898,10585,981.0,1639.0,7263628.0,5375084.72,726362.8,217908.84,472135.82,8716.353599999999,7263.628000000001,43581.768000000004,435.81768
105,Belém,-6.74261,-35.5166,10585,4749.0,7990.0,7263628.0,5375084.72,726362.8,217908.84,472135.82,8716.353599999999,7263.628000000001,43581.768000000004,435.81768
106,Belém,-9.57047,-36.4904,10585,1152.0,1861.0,7263628.0,5375084.72,726362.8,217908.84,472135.82,8716.353599999999,7263.628000000001,43581.768000000004,435.81768
107,Olivença,-9.51954,-37.1954,24,1003.0,1808.0,19115.0,14145.1,1911.5,573.4499999999999,1242.4750000000001,22.938,19.115,114.69,1.1469
108,Pão de Açúcar,-9.74032,-37.4403,103,331.0,546.0,42401.0,31376.74,4240.1,1272.03,2756.065,50.88119999999999,42.401,254.406,2.54406
109,Feira Grande,-9.89859,-36.6815,90,1100.0,1679.0,41977.0,31062.98,4197.7,1259.31,2728.505,50.3724,41.977000000000004,251.862,2.51862
110,Girau do Ponciano,-9.88404,-36.8316,85,2519.0,5568.0,60151.0,44511.74,6015.1,1804.53,3909.815,72.18119999999999,60.151,360.906,3.60906
111,Monteirópolis,-9.60357,-37.2505,12,692.0,1650.0,15985.0,11828.9,1598.5,479.54999999999995,1039.025,19.182,15.985,95.91,0.9591000000000001
112,Água Branca,-5.88856,-42.637,282,911.0,1575.0,163883.0,121273.42,16388.3,4916.49,10652.395,196.65959999999998,163.883,983.298,9.832980000000001
113,Água Branca,-7.51144,-37.6357,282,1353.0,2520.0,163883.0,121273.42,16388.3,4916.49,10652.395,196.65959999999998,163.883,983.298,9.832980000000001
114,Água Branca,-9.262,-37.938,282,7768.0,13293.0,163883.0,121273.42,16388.3,4916.49,10652.395,196.65959999999998,163.883,983.298,9.832980000000001
115,Inhapi,-9.22594,-37.7509,36,2988.0,7177.0,16940.0,12535.6,1694.0,508.2,1101.1000000000001,20.328,16.94,101.64,1.0164
116,Roteiro,-9.83503,-35.9782,10,1247.0,2332.0,7255.0,5368.700000000001,725.5,217.64999999999998,471.57500000000005,8.706,7.255,43.53,0.4353
117,Ibateguara,-8.97823,-35.9373,24,2904.0,4937.0,8962.0,6631.88,896.2,268.86,582.53,10.754399999999999,8.962,53.772,0.53772
118,Santa Luzia do Norte,-9.6037,-35.8232,36,1289.0,2703.0,16088.0,11905.12,1608.8,482.64,1045.72,19.3056,16.088,96.528,0.96528
119,São Brás,-10.1141,-36.8522,16,1997.0,2959.0,4436.0,3282.64,443.6,133.07999999999998,288.34000000000003,5.3232,4.436,26.616,0.26616
120,Senador Rui Palmeira,-9.46986,-37.4576,25,12284.0,20452.0,10966.0,8114.84,1096.6,328.97999999999996,712.7900000000001,13.159199999999998,10.966000000000001,65.796,0.65796
121,Pariconha,-9.25634,-37.9988,31,2182.0,3493.0,9305.0,6885.7,930.5,279.15,604.825,11.165999999999999,9.305,55.83,0.5583
122,Mata Grande,-9.11824,-37.7323,27,773.0,1484.0,12475.0,9231.5,1247.5,374.25,810.875,14.969999999999999,12.475,74.85,0.7485
123,Ouro Branco,-20.5263,-43.6962,631,510.0,876.0,292479.0,216434.46,29247.9,8774.369999999999,19011.135000000002,350.97479999999996,292.479,1754.874,17.54874
124,Ouro Branco,-6.6958,-36.9428,631,1924.0,4117.0,292479.0,216434.46,29247.9,8774.369999999999,19011.135000000002,350.97479999999996,292.479,1754.874,17.54874
125,Ouro Branco,-9.15884,-37.3556,631,1100.0,2348.0,292479.0,216434.46,29247.9,8774.369999999999,19011.135000000002,350.97479999999996,292.479,1754.874,17.54874
126,Coqueiro Seco,-9.63715,-35.7994,11,526.0,922.0,6805.0,5035.7,680.5,204.14999999999998,442.32500000000005,8.165999999999999,6.805000000000001,40.83,0.4083
127,Jacaré dos Homens,-9.63545,-37.2076,28,1528.0,2746.0,13977.0,10342.98,1397.7,419.31,908.5050000000001,16.772399999999998,13.977,83.862,0.83862
128,Novo Lino,-8.94191,-35.664,14,3104.0,5915.0,8195.0,6064.299999999999,819.5,245.85,532.6750000000001,9.834,8.195,49.17,0.4917
129,Jundiá,-6.26866,-35.3495,24,2222.0,4125.0,7276.0,5384.24,727.6,218.28,472.94,8.7312,7.276,43.656,0.43656
130,Jundiá,-8.93297,-35.5669,24,8259.0,19765.0,7276.0,5384.24,727.6,218.28,472.94,8.7312,7.276,43.656,0.43656
131,Belo Monte,-9.82272,-37.277,15,8092.0,16513.0,7380.0,5461.2,738.0,221.39999999999998,479.7,8.856,7.38,44.28,0.4428
132,Branquinha,-9.23342,-36.0162,12,652.0,1202.0,23635.0,17489.9,2363.5,709.05,1536.275,28.361999999999995,23.635,141.81,1.4181000000000001
133,Mar Vermelho,-9.44739,-36.3881,23,259.0,531.0,16395.0,12132.3,1639.5,491.84999999999997,1065.675,19.674,16.395,98.37,0.9837
134,Colônia Leopoldina,-8.91806,-35.7214,38,260.0,461.0,19904.0,14728.960000000001,1990.4,597.12,1293.76,23.8848,19.904,119.424,1.19424
135,Maravilha,-9.23045,-37.3524,274,1790.0,4996.0,212352.0,157140.48,21235.2,6370.5599999999995,13802.880000000001,254.8224,212.352,1274.112,12.74112
136,Maravilha,-26.7665,-53.1737,274,11159.0,19549.0,212352.0,157140.48,21235.2,6370.5599999999995,13802.880000000001,254.8224,212.352,1274.112,12.74112
137,Canapi,-9.11932,-37.5967,34,1639.0,2609.0,17570.0,13001.800000000001,1757.0,527.1,1142.05,21.084,17.57,105.42,1.0542
138,Joaquim Gomes,-9.1328,-35.7474,13,207.0,347.0,8865.0,6560.1,886.5,265.95,576.225,10.637999999999998,8.865,53.19,0.5319
139,Jacuípe,-8.83951,-35.4591,8,104.0,167.0,16855.0,12472.699999999999,1685.5,505.65000000000003,1095.575,20.226,16.855,101.13,1.0113
140,Campestre,-21.7079,-46.2381,386,627.0,1204.0,243988.0,180551.12,24398.8,7319.639999999999,15859.22,292.7856,243.988,1463.928,14.63928
141,Campestre,-8.84723,-35.5685,386,3420.0,7067.0,243988.0,180551.12,24398.8,7319.639999999999,15859.22,292.7856,243.988,1463.928,14.63928
142,Jaramataia,-9.66224,-37.0046,18,4104.0,8631.0,10745.0,7951.3,1074.5,322.34999999999997,698.4250000000001,12.893999999999998,10.745000000000001,64.47,0.6447
143,Manaus,-3.11866,-60.0212,8057,80.0,123.0,8731326.0,6461181.24,873132.6000000001,261939.78,567536.1900000001,10477.591199999999,8731.326000000001,52387.956,523.87956
144,Manacapuru,-3.29066,-60.6216,50,8902.0,17505.0,51367.0,38011.58,5136.7,1541.01,3338.855,61.64039999999999,51.367000000000004,308.202,3.08202
145,Parintins,-2.63741,-56.729,61,1545.0,2838.0,44096.0,32631.04,4409.6,1322.8799999999999,2866.2400000000002,52.9152,44.096000000000004,264.576,2.64576
146,Presidente Figueiredo,-2.02981,-60.0234,23,28.0,67.0,16838.0,12460.119999999999,1683.8,505.14,1094.47,20.205599999999997,16.838,101.02799999999999,1.01028
147,Apuí,-7.19409,-59.896,1,30.0,43.0,1496.0,1107.04,149.6,44.879999999999995,97.24000000000001,1.7952,1.496,8.976,0.08976
148,Borba,-4.39154,-59.5874,1,631.0,1001.0,4576.0,3386.24,457.6,137.28,297.44,5.491199999999999,4.5760000000000005,27.456,0.27456
149,Iranduba,-3.27479,-60.19,94,325.0,576.0,300900.0,222666.0,30090.0,9027.0,19558.5,361.08,300.9,1805.4,18.054000000000002
150,Nova Olinda do Norte,-3.90037,-59.094,1,196.0,288.0,242.0,179.07999999999998,24.200000000000003,7.26,15.73,0.2904,0.242,1.452,0.01452
151,Humaitá,-27.5691,-53.9695,382,1014.0,2210.0,196253.0,145227.22,19625.3,5887.59,12756.445,235.50359999999998,196.25300000000001,1177.518,11.77518
152,Humaitá,-7.51171,-63.0327,382,1310.0,2458.0,196253.0,145227.22,19625.3,5887.59,12756.445,235.50359999999998,196.25300000000001,1177.518,11.77518
153,Coari,-4.09412,-63.1441,14,2876.0,5346.0,14377.0,10638.98,1437.7,431.31,934.505,17.252399999999998,14.377,86.262,0.8626199999999999
154,Codajás,-3.83053,-62.0658,4,24615.0,71918.0,4056.0,3001.44,405.6,121.68,263.64,4.8671999999999995,4.056,24.336,0.24336
155,Novo Airão,-2.63637,-60.9434,11,895.0,1711.0,17725.0,13116.5,1772.5,531.75,1152.125,21.27,17.725,106.35,1.0635
156,Itacoatiara,-3.13861,-58.4449,46,3787.0,6680.0,45683.0,33805.42,4568.3,1370.49,2969.395,54.819599999999994,45.683,274.098,2.74098
157,Nhamundá,-2.20793,-56.7112,6,5405.0,8588.0,3315.0,2453.1,331.5,99.45,215.475,3.9779999999999998,3.315,19.89,0.19890000000000002
158,Manicoré,-5.80462,-61.2895,7,714.0,1202.0,6081.0,4499.9400000000005,608.1,182.43,395.265,7.297199999999999,6.0809999999999995,36.486000000000004,0.36486
159,Rio Preto da Eva,-2.7045,-59.6858,16,9570.0,20068.0,18528.0,13710.72,1852.8,555.84,1204.32,22.2336,18.528000000000002,111.168,1.11168
160,Lábrea,-7.26413,-64.7948,7,309.0,606.0,9355.0,6922.700000000001,935.5,280.65,608.075,11.225999999999999,9.355,56.13,0.5613
161,Urucurituba,-3.12841,-58.1496,3,38.0,61.0,650.0,481.0,65.0,19.5,42.25,0.7799999999999999,0.65,3.9,0.039
162,Careiro,-3.76803,-60.369,5,9074.0,20428.0,3990.0,2952.6,399.0,119.7,259.35,4.787999999999999,3.99,23.939999999999998,0.2394
163,Urucará,-2.52936,-57.7538,2,988.0,1615.0,3750.0,2775.0,375.0,112.5,243.75,4.5,3.75,22.5,0.22499999999999998
164,Carauari,-4.88161,-66.9086,6,553.0,872.0,4535.0,3355.9,453.5,136.05,294.775,5.442,4.535,27.21,0.2721
165,Tabatinga,-21.7239,-48.6896,148,3835.0,6792.0,127733.0,94522.42,12773.300000000001,3831.99,8302.645,153.2796,127.733,766.398,7.6639800000000005
166,Tabatinga,-4.2416,-69.9383,148,1362.0,3693.0,127733.0,94522.42,12773.300000000001,3831.99,8302.645,153.2796,127.733,766.398,7.6639800000000005
167,Boca do Acre,-8.74232,-67.3919,11,1144.0,1804.0,6645.0,4917.3,664.5,199.35,431.925,7.973999999999999,6.6450000000000005,39.87,0.3987
168,Eirunepé,-6.65677,-69.8662,12,1288.0,2499.0,13800.0,10212.0,1380.0,414.0,897.0,16.56,13.8,82.8,0.8280000000000001
169,Caapiranga,-3.31537,-61.2206,6,1447.0,2969.0,2790.0,2064.6,279.0,83.7,181.35000000000002,3.348,2.7900000000000005,16.74,0.1674
170,Guajará,-7.53797,-72.5907,1,353.0,615.0,1110.0,821.4,111.0,33.3,72.15,1.3319999999999999,1.11,6.66,0.0666
171,Manaquiri,-3.44078,-60.4612,2,266.0,403.0,685.0,506.9,68.5,20.549999999999997,44.525000000000006,0.822,0.6849999999999999,4.11,0.041100000000000005
